week,game_date_local,kickoff_local,team_1,team_2,team_1_spread,team_2_spread,total,source,captured_at_local,line_status
3,2026-09-19,18:00,Florida,Auburn,-2.5,2.5,53.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Georgia State,UCF,18.5,-18.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,Virginia Tech,Maryland,-3.5,3.5,53.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,BYU,Colorado State,-17.5,17.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,LSU,Ole Miss,-2.5,2.5,59.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,West Virginia,Virginia,9.5,-9.5,53.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,New Mexico,Oklahoma,22.5,-22.5,46.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,Colorado,Northwestern,3.5,-3.5,48.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:30,Michigan State,Notre Dame,29.5,-29.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:45,Kennesaw State,Tennessee,35.5,-35.5,60.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,19:00,Arkansas State,TCU,20.5,-20.5,56.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,19:00,UTSA,Texas,30.5,-30.5,58.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,19:00,UAB,Louisiana,7.5,-7.5,56.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,21:00,James Madison,San Diego State,2.5,-2.5,46.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,21:30,Northern Illinois,Arizona,34.5,-34.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,21:30,North Dakota State,Sacramento State,-27.5,27.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,22:00,Purdue,UCLA,14.5,-14.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,22:00,Fresno State,San Jose State,-6.5,6.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
